"segmentLabels__BUILDING","segmentLabels__VALUE","segmentLabels__BUSINESS","segmentLabels__CHECKIN","segmentLabels__LOCATION","segmentLabels__FOOD","segmentLabels__CLEANLINESS","segmentLabels__ROOMS","segmentLabels__SERVICE","segmentLabels__NOTRELATED","annotatorId","ratingOverall","ratingRoom","author","hotelId","reviewId","ratingLocation","ratingCleanliness","ratingService","ratingBusiness","ratingValue","segmentLabels__OTHER","date","ratingCheckin","segments"
"","","","","","","","in","","","","","","","","","","","","","","","","","We were on the third floor looking over the roof - hardly any view of the ocean at all."
"","","","","","","","in","","","","","","","","","","","","","","","","","This was not what we had in mind for our Waikiki vacation."
"","","","x","","","","","","","","","","","","","","","","","","","","","We went to the front desk and requested an upgrade."
"","","","p","","","","","","","","","","","","","","","","","","","","","Even though the hotel was fully sold out, they managed to put us into a full ocean view room for 4 nights."
"","","","","","","","","","","","","","","","","","","","","","p","","","My recommendation - spring for the extra money - the full ocean view is well worth it!"
"","","","","","","","","","","","","","","","","","","","","","n","","","The beach is too small, but what beach isn't in Waikiki."
"","","","","p","","","","","","","","","","","","","","","","","","","","The location, however, can't be beat."
"","","","","","","","","","x","","","","","","","","","","","","","","","We bought air mattresses and paddled out in the ocean forever and the water never got rough (this was summer)."
"","","","","","","","","","x","","","","","","","","","","","","","","","My daughter took surfing lessons on the spot, which was very convenient."
"","","","","","n","","","","","","","","","","","","","","","","","","","If I had one complaint, it was the quality of the fruit served for breakfast."
"","","","","","n","","","","","","","","","","","","","","","","","","","It was supermarket quality."
"","","","","","n","","","","","","","","","","","","","","","","","","","The pineapples tasted nothing like the delicious pineapples we had in Kauai the week before."
"","","","","","","","","","","","","","","","","","","","","","p","","","Despite the marginal fruit, I will still give this hotel high marks."
"","","","","p","","","","","","2","4","-1","dubon","549547","549547:21","-1","-1","-1","-1","-1","","Mar 25, 2007","-1","Great Locaqtion This hotel has a great location, in walking distance of Forbbiden"
"","","","","p","","","","","","","","","","","","","","","","","","","","City, shopping areas, Beihao park etc ."
"","","","","","","p","","","","","","","","","","","","","","","","","","I stayed for two periods - the first I was upgraded to a suite which was beautifully furnished, clean and except for some electrical problems with operating the Jacuzi, was well above the standard I expected."
"","","","","","n","p","p","p","","","","","","","","","","","","","","","","The second period was spent in a standard room which was also large, clean and with many extras - slippers , bath robe , hairdryer etc.The staff were very helpful and the only thing I did not like was the breakfast which is optional."
"","","","","","","","","","x","","","","","","","","","","","","","","","Getting there by taxi can be a small problem first time but the hotel gives you a map so after the first time, there are no problems."
"","p","","","","","","","","","","","","","","","","","","","","","","","All in all , very good value for money , especially considering the saving on taxis which can amount to almost the price per day for this hotel"
"","","","","","","","","","","0","4","3","Nick2hot","86951","86951:5","5","4","3","2","3","p","Nov 12, 2008","4","Great hotel away from the crowd"
"","","","","","","","","","","","","","","","","","","","","","ip","","","We have stayed at the hotel several times."
"","","","","","","p","","p","","","","","","","","","","","","","p","","","It is with quiet nice, courteous staff, and clean rooms."
"","x","","","","","","","x","","","","","","","","","","","","","","","","The restaurant on the ground level facing the beach is a bit overpriced, especially for dinner ; the service staff can be a bit surly ."
"","","","","","","","","","","","","","","","","","","","","","","","","There is a sushi restaurant at the hotel which we have never tried."
"","","","","","p","","","","","","","","","","","","","","","","","","","There are some amazing ( and not touristy ) restaurants a short cab ride away on Kapahulu Ave. that offer a variety of reasonable ethnic cuisine."
"","","","","","","","x","","","","","","","","","","","","","","","","","The rooms can be a bit small but suggest ocean view only since the other rooms face high rises and this defeats the purpose of being in a tropical setting."
"p","","","","","","","","","","0","4","-1","IAD777","256618","256618:80","-1","-1","-1","-1","-1","p","Jan 25, 2005","-1","Gorgeous Hotel, Amazing View, A Little"
"p","","","","","","","","","","","","","","","","","","","","","p","","","Out of the Way Hotel is stunning, luxurious and the views are really fantastic."
"","","","","in","","","","","","","","","","","","","","","","","","","","It is a bit out of the way though, all the way at the of the Rocks."
"","","","","p","","p","","","","2","3","3","CanadaJoss","295625","295625:11","4","4","2","-1","3","n","May 1, 2008","3","Clean, good location --but noisy"
"","","","","p","","","","","","","","","","","","","","","","","","","","The hotel is in a good location near the train station and within 5-10 minutes walk to the Mercato Centrale and the Duomo."
"","","","","","","p","n","","","","","","","","","","","","","","","","","The rooms are small but clean."
"","","","","","","","","","","","","","","","","","","","","","n","","","However, it is noisy."
"","","","","","","","","","","","","","","","","","","","","","n","","","If you are at all sensitive to noise, then it is very important that you get a room in the back of the hotel."
"","","","","","","","","","","","","","","","","","","","","","n","","","We stayed in the front and the traffic and other street noise was very loud."
"","","","","","","","","n","","","","","","","","","","","","","","","","I had earplugs and it was still difficult to sleep (I have spent hundreds of nights in hotel rooms around the world for business and leisure travel so I do have some good comparisons).I asked to change rooms (or even hotels) and the staff were not very sympathetic saying that it is a 'city hotel' and that they would charge me a cancelation fee if I moved hotels (48 hour cancelation policy)."
